tweet	emotion
Ok this movie was good in it's time, and whilst we were young... ðŸ˜‚ Still enjoy a shy Ethan Hawk #BeforeSunrise	fear
@LeeMorris I had no idea until I came off air directing at pm #shocking	fear
â€œWhat worries you masters you. - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious	fear
#PeopleLikeMeBecause of some unknown reason but I try to discourage it	fear
realising you have no conditioner after already shampooing ðŸ˜“ðŸ˜“ #nightmare	fear
Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont #horror	fear
@syd_viciously I have gained a tremendous amount of respect for @RandPaul over the past couple of years.	fear
@virginmedia shocking service for your call centre staff this evening. Transfer me and cut me off after waiting forever to speak to someone.	fear
Shriekfest is lining up VOLUNTEERS! Oct -, only serious inquiries please!  shriekfest@aol.com  see free films!  #horror	fear
I walked . miles today, the most I've walked since I got #rhabdo. Going back to work tomorrow.. here's to hoping it goes okay #nervous	fear
@JessicaLRohlik you seriously need to pop out of some curtains while matt is filming  to scare the bejesus out of him.	fear
@sphiwememela...its bad.I am fearing for my life	fear
@sandahlcarrie Your comments concern us, Carrie. Please DM your record locator and details.	fear
Looks like I'm going in for my op just over a week or so early! #nervous	fear
@ykrahs @HaiderAlAbadi @HassanRouhani % of Iraqi political was fighting with Iran against Iraq in s % of terror in Iraq is Iranian	fear
@BowkerMorgan awe thanks morgs!!! love u lots girly	fear
Do not #worry about anything but #pray about everything.	fear
@Masonicmoron i always hesitate to update.  At least it's no the horrors iPhone users endure every few months	fear
@mylittlepwnies \n&gt; #terrorism coffee addict\n&gt; blocks cats, writers, artists and hedonists	fear
even walking around with my family members who carry guns makes me nervous and theyre my family.	fear
First College Math Test tomorrow #nervous	fear
Have the producers of @soverybritish ever been outside of their country? These are universal problems. #worldwide #anxiety	fear
So I've decided to go talk to Mr. Smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning	fear
Wtf are United doing, shocking defending	fear
Yeah! Tonight it's time for the #weekend #mix @WildFM with @djkeanu and @RickWaltmann set your #alarm for pm #house #deephouse #ibiza	fear
@drunkafzayn @vogueszap yes it's shocking how islamophobic Indias are considering how many Muslims live there	fear
day  of the thread and i thing he doesn't like me like that. idk he's so shy and secretive... ugh.	fear
@RedNick @Audi_Nutz @NickBuck @ThompsonNeil @Insaniti_LFC @knoller @KemlynRoadStand @godisared don't be shy their great people	fear
It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern	fear
Not sure if thats an accomplishment or something to worry about	fear
When you get to a point as an officer that you are in fear for your life you sir need to change professions	fear
@AnsarAAbbasi John Kerry fckd u,chief justiceofpak made the statement publicly about party supporting terror what else u need#terrorstatepak	fear
#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting	fear
When's it all finished, you will discover that it was never random! #thoughts #restless #CrossoverLife	fear
@addy_caylen I told her I wasn't fighting her Bc I'm not trashy and she keeps tryna threaten me lmfao	fear
Danish pastries...oh know my nightmare! Old boots is a good description #GBBO	fear
@Gen_Ironicus Musicians have a superstitious dread of crossing highway , true story	fear
@TheRachelFisher i've seen a bunch of that on another twitter feed and I remember you had an opinion on it #shocking	fear
That heart pounding, goosebumping nightmare experience! Woke up : in the morning with that scary, bad dream of mine.	fear
@WestHamUtd why does the ticket website never work? Trying to buy Palace tickets and it's impossible and says there's an error #awful	fear
I would just give her with their naked body. #afraid	fear
So I went to a different grocery store, and they had no @DukesMayonnaise\nI had to buy Helmann's.\nLiterally shaking right now.	fear
These mets know how to give someone anxiety #mets #lgm #anxiety @mets	fear
Searching for someone to date â€• on Tinder, at a bar, through friends â€• can feel like an absurd nightmare. Or, at least, a series of	fear
@NGilbert @_curtknee_ haha it's me, shocking I know ðŸ˜‚ you'll hear me moan I'm too cold in winter	fear
If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society.	fear
#Depression has you wanting to change the past, #anxiety has you focusing on the unknown future. Neither are about living in the present.	fear
@_Briannax @TheFunnyVine @MarielaLynn_ @karengutiii_ gotta shake the booty instead though, makes sure it's all good	fear
@ctp It's daunting trying to follow Swift news/trends, and facing mind-shattering patterns/terms left and right. I'm trying to adopt gently.	fear
@steph_baker i tried to turn off my alarm this morning and it turned on all my alarms instead	fear
American horror story in bed	fear
This weather making me dread work tonight	fear
thank you for finding this @ @afcEnes coy	fear
@JamieSmart that was shocking!	fear
I look #horrible today and I just saw  people ik in the past  min :-)	fear
First day of fall quarter tomorrow.  ðŸ˜° #nervous #excited #anxious #blargh	fear
I highly suggest if you are looking online for a company to help you send you're package overseas..DO NOT EVER EVER USE @FastLaneInt	fear
A goal should scare you a little, and excite you a lot. - Joe Vitale #quote	fear
Ugh.. Why am I not asleep yet. Fml. I think low key I'm afraid I might miss something. #SleeplessNight #sleepy #restless	fear
@AASadeq I scare people even when I'm suspended? LOL	fear
Good Morning!!!\n\n#leadership #healthcareIT #socialmedia #connector #ceo #writer #AI #EQ #security #bigdata #Growthhacking #tech #fear	fear
@captainzee yup. He can celebrate and no he doesn't hesitate	fear
don't #worry, earthlings\ni'm not real..\n..OR AM I?	fear
Someone set off the fire alarm and I'm so angry because I was in the middle of moisturizing my elbows	fear
Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC	fear
Friday is here, and we are open tonight and tomorrow. Get a jump on your Halloween and come play with us. #hauntedattraction #tulsa	fear
what to wear Friday \nspeaking in front of 's.	fear
@lhbrown @Jimcummingsacme I'm afraid to look!	fear
On the drive home today I heard a censored version of Spirits by The Strumbellas. 'Guns' replaced with 'dreams'. Just NO. #awful #censorship	fear
@rgamrtis it's a common problem I've had with every  plus. having a regular  = not having to worry about the design flaw = working phone	fear
@caIrissian take deep breaths bc the shaking could be from adrenaline. Oh wow that's weird. Depending if you're regular or not that varies-	fear
Don't faint. New Cisco IOS vulnerabilities were announced yet again. What would be shocking? If theyâ€™re patched this week by users.	fear
@jkriv You're most welcome. Please check with us anytime you have a question or concern.	fear
Might start stanning Lady Gaga again - more so than last time - but shhh don't tell Connor	fear
Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.	fear
@BetteMidler @Adele @TheGarden @charitybuzz Also, apart from Skyfall, her music is dire and boring.	fear
@economictimes World knows #Pakistan is an epicentre of #terror. The #pakistan speech in UN has define their agenda	fear
Watched the movie, friend request at am awhile ago in a dark cold night and it was one of the bad choices I've ever made. #nightmare	fear
@FoxNews also we are having riots and protests at alarming rate every time there's a person of color that is shot.	fear
I'm tired of everybody telling me to chill out and everythings ok. no the fuck its not. I'm tired of faking a a fucking smile	joy
#GBBO can cheer me up	joy
&amp; as much as I hate for a dude to cheat, women forego pleasing their man, they get lazy &amp; men get lazy &amp; then it's just pointless	joy
@GOTOfficial @jrjyp happy birthday jin young!!!!!! #PrinceJinyoungDay  #happyjinyoungday #got #happy #birthday	joy
The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n #optimism #inspire	joy
The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n  #inspire	joy
Watching football matches without commentary is something that I rejoice, found a transmission of Cityâ€™s match like that today, joyful.	joy
#twd comes on soon #happy	joy
@TauDeltaPhiDK THANK YOU FOR MY OBAMA CUT OUT!!!!!! I am elated that he's back home	joy
@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.	joy
Gemma Simmons is the bright spot of the premiere so far. #AgentsofSHIELD	joy
This is a beautiful day that the Lord has made. I will rejoice and be glad!!!	joy
Watch this amazing live.ly broadcast by @kelli.peterson #lively #musically.   Come WATCH	joy
Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat	joy
Oi @THEWIGGYMESS you've absolutely fucking killed me..  mins later im still crying with laughter.. Grindah.. Grindah... ðŸ¤“  hahahahahahaha	joy
So happy I live in NYC! See you tomorrow .....@SamHeughan @Barbour	joy
Accept the challenges, so that you may feel the exhilaration of victory.	joy
For what a beautiful day. #elated	joy
For what a beautiful day.	joy
@Langston_Hunter Yeah bro it eas hella exhilarating	joy
sometimes im sad then remember Margaret Thatcher is dead and then i rejoice	joy
This is not me brown nosing but I've listened to lots of housing ministers but @GavinBarwellMP #nhf impressed me more than any	joy
This is not me brown nosing but I've listened to lots of housing ministers but @GavinBarwellMP #nhf impressed me more than any #optimism	joy
@APkrawczynski   Any possibly KG is being bought out as a player so that he can buy in from Glen as a minority owner?  #optimism	joy
Martin Roth leaving V&amp;A shoes the effects of #Brexit: bright and talented foreigners made to feel unwelcome and leaving U.K. #cnews	joy
one thing I can say is that you kept me smiling	joy
#blackish always has me #rollin #hilarious	joy
How is your toddler coping with the new arrival? Has he tried killing her yet?' they cheerfully ask.	joy
American Schools are lively	joy
Drawing mini-comics is joyful; folding mini-comics is meditative and relaxing. I think I need to do them for more than just Halloween...	joy
@Malkarii_ Korgoth of Barbaria for brutality, King Julian for hilarity, and Ariel... Because hot...	joy
i love those #memories that randomly pop\ninto my head , have me #smiling like an\n#idiot for ages	joy
@TurtleTitan (She laughed a bit. Of course it was! Aria shook her head, calming her mirth so she could listen to Mikey.) No, actually.	joy
@IreneEstry can't wait to see you Hun #cuddles #gossip #laughter	joy
God hears your voice optimism at the moment that you think that everything has failed you âœ¨.	joy
My bf drove out of his way after a long day just to spend  min holding me to make me feel better. How'd I get so lucky #lucky #happy	joy
My bf drove out of his way after a long day just to spend  min holding me to make me feel better. How'd I get so lucky #lucky	joy
Love this! Laughing while crying works too! #katherinemansfield #failure #laughter #dealingwithfailure	joy
Love this! Laughing while crying works too! #katherinemansfield #failure  #dealingwithfailure	joy
They tend to loosen up a bit when drunk, and can seem pretty cheerful.	joy
We so elated, we celebrated like Obama waited until his last day in office to tell the nation, brothers is getting their reparations	joy
angel delight is my everything	joy
I just want to let everyone out there know you are wonderful people! #beyourself #happy #cheerful #late-night #compliment #behappy	joy
I just want to let everyone out there know you are wonderful people! #beyourself   #late-night #compliment #behappy	joy
